group,subgroup,dimension_label,Видимість (Toggle),dimension_name,dimension_value_type,sql_table,sql_name,catalog,dimension_src,is_valid,
4. Фінанси та Вантаж,Додатково,Ознака Маркетплейсу,Логістика,marketplace,NUMBER,client_parcels_detail,MarketPlace,marketplace,[dc1-ap01.cdp.dev.nix.npu.np.work].[client_parcels_detail_365d].MarketPlace,yes,
5. Географія та Локації,Загальна географія,Тип населеного пункту відправника,Логістика,sender_settlement_type,STRING,growth_sender_catalog_warehouses,settlementtypes,settlement_type,FROM [GROWTH_CatalogWarehouses].SettlementTypes,yes,
5. Географія та Локації,Загальна географія,Тип населеного пункту отримувача,Логістика,recipient_settlement_type,STRING,growth_recipient_catalog_warehouses,settlementtypes,settlement_type,FROM [GROWTH_CatalogWarehouses].SettlementTypes,yes,
5. Географія та Локації,Загальна географія,Регіональний центр відправника,Логістика,sender_regional_center,BOOLEAN,growth_sender_catalog_warehouses,isregionalcitycentral,none,FROM [GROWTH_CatalogWarehouses].IsRegionalCityCentral,yes,
5. Географія та Локації,Загальна географія,Регіональний центр отримувача,Логістика,recipient_regional_center,BOOLEAN,growth_recipient_catalog_warehouses,isregionalcitycentral,none,FROM [GROWTH_CatalogWarehouses].IsRegionalCityCentral,yes,
5. Географія та Локації,Загальна географія,Місто обл.центр (0/1),B2C,c_is_regional_capital_city,BOOLEAN,growth_catalog_clients_c,IsRegionalCityCenterFavoritePoint,none,[v_Growth_catalog_clients_C].IsRegionalCityCenterFavoritePoint,yes,
5. Географія та Локації,Загальна географія,Місто обл.центр (0/1),B2B,b_is_regional_capital_city,BOOLEAN,growth_catalog_clients_b,IsRegionalCityCenterFavoritePoint,none,[v_Growth_catalog_clients_B].IsRegionalCityCenterFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Улюблена точка обслуговування (назва/номер),B2C,c_favorite_service_point_name_or_number,STRING,growth_catalog_clients_c,NameFavoritePoint,not possible w/o id,[v_Growth_catalog_clients_C].NameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Улюблена точка обслуговування (назва/номер),B2B,b_favorite_service_point_name_or_number,STRING,growth_catalog_clients_b,NameFavoritePoint,not possible w/o id,[v_Growth_catalog_clients_B].NameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Тип улюбленої точки контакту,B2C,c_favorite_contact_point_type,STRING,growth_catalog_clients_c,TypeFavoritePoint,enum_type_point,[v_Growth_catalog_clients_C].TypeFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Тип улюбленої точки контакту,B2B,b_favorite_contact_point_type,STRING,growth_catalog_clients_b,TypeFavoritePoint,enum_type_point,[v_Growth_catalog_clients_B].TypeFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Назва міста по улюбленій точці,B2C,c_favorite_point_city_name,STRING,growth_catalog_clients_c,GeoCityNameFavoritePoint,city_text,[v_Growth_catalog_clients_C].GeoCityNameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Назва міста по улюбленій точці,B2B,b_favorite_point_city_name,STRING,growth_catalog_clients_b,GeoCityNameFavoritePoint,city_text,[v_Growth_catalog_clients_B].GeoCityNameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Назва регіону по улюбленій точці,B2C,c_favorite_point_region_name,STRING,growth_catalog_clients_c,GeoAreaNameFavoritePoint,area_text,[[v_Growth_catalog_clients_C].GeoAreaNameFavoritePoint,yes,
5. Географія та Локації,Улюблена точка (Fav),Назва регіону по улюбленій точці,B2B,b_favorite_point_region_name,STRING,growth_catalog_clients_b,GeoAreaNameFavoritePoint,area_text,[v_Growth_catalog_clients_B].GeoAreaNameFavoritePoint,yes,
5. Географія та Локації,Остання точка,Місто останньої точки обслуговування,B2C,c_last_service_point_city,STRING,growth_catalog_clients_c,GeoCityNameLastPoint_EN,city_text,[v_Growth_catalog_clients_C].GeoAreaNameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Місто останньої точки обслуговування,B2B,b_last_service_point_city,STRING,growth_catalog_clients_b,GeoCityNameLastPoint_EN,city_text,[v_Growth_catalog_clients_B].GeoAreaNameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Остання точка обслуговування (назва),B2C,c_last_service_point_name,STRING,growth_catalog_clients_c,NameLastPoint_EN,not possible w/o id,[v_Growth_catalog_clients_C].NameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Остання точка обслуговування (назва),B2B,b_last_service_point_name,STRING,growth_catalog_clients_b,NameLastPoint_EN,not possible w/o id,[v_Growth_catalog_clients_B].NameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Тип останньої точки контакту,B2C,c_last_contact_point_type,STRING,growth_catalog_clients_c,TypeLastPoint_EN,enum_type_point,[v_Growth_catalog_clients_C].TypeLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Тип останньої точки контакту,B2B,b_last_contact_point_type,STRING,growth_catalog_clients_b,TypeLastPoint_EN,enum_type_point,[v_Growth_catalog_clients_B].TypeLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Назва міста по останній точці контакту,B2C,c_last_contact_point_city_name,STRING,growth_catalog_clients_c,GeoCityNameLastPoint_EN,,[v_Growth_catalog_clients_C].GeoCityNameLastPoint_EN,no,дубль
5. Географія та Локації,Остання точка,Назва міста по останній точці контакту,B2B,b_last_contact_point_city_name,STRING,growth_catalog_clients_b,GeoCityNameLastPoint_EN,,[v_Growth_catalog_clients_B].GeoCityNameLastPoint_EN,no,дубль
5. Географія та Локації,Остання точка,Назва регіону по останній точці контакту,B2C,c_last_contact_point_region_name,STRING,growth_catalog_clients_c,GeoAreaNameLastPoint_EN,area_text,[v_Growth_catalog_clients_C].GeoAreaNameLastPoint_EN,yes,
5. Географія та Локації,Остання точка,Назва регіону по останній точці контакту,B2B,b_last_contact_point_region_name,STRING,growth_catalog_clients_b,GeoAreaNameLastPoint_EN,area_text,[v_Growth_catalog_clients_B].GeoAreaNameLastPoint_EN,yes,
5. Географія та Локації,Основні локації,Місто основного відділення,Логістика,primary_branch_city,STRING,document_gc_nova_main,param_78,city_text,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 78,yes,
5. Географія та Локації,Основні локації,Назва основного відділення,Логістика,primary_branch_name,STRING,document_gc_nova_main,param_77,not possible w/o id,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 77,yes,
5. Географія та Локації,Основні локації,Місто основного поштомату,Логістика,primary_parcel_locker_city,STRING,document_gc_nova_main,param_82,city_text,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 82,yes,
5. Географія та Локації,Основні локації,Назва основного поштомату,Логістика,primary_parcel_locker_name,STRING,document_gc_nova_main,param_81,not possible w/o id,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 81,yes,
5. Географія та Локації,Резервні локації,Місто резервного відділення,Логістика,backup_branch_city,STRING,document_gc_nova_main,param_80,city_text,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 80,yes,
5. Географія та Локації,Резервні локації,Назва резервного відділення,Логістика,backup_branch_name,STRING,document_gc_nova_main,param_79,not possible w/o id,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 79,yes,
5. Географія та Локації,Резервні локації,Місто резервного поштомату,Логістика,backup_parcel_locker_city,STRING,document_gc_nova_main,param_84,city_text,[dc1-ap01.cdp.dev.nix.npu.np.work].[document_gc_nova_main] where param_id = 84,yes,
